Vann-nett_Rapport 7.4.2020;;;;;;;;;;;;;;;;;;
VannforekomstID;Vannforekomstnavn;Vanntype;Nasjonal vanntype;Interkalibreringstype;Økoregion kyst;Kysttype;Salinitet;Tidevann;Bølgeeksponering;Miksing i vannsøylen;Oppholdstid;Strømhastighet;Vannregionkoordinator;Vannregion;Vannområde;VassdragsområdeID;Vassdragsområde;Endret dato
0101010401-C;Ramsøflaket - Østerelva;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 15:25
0101010402-C;Tosekilen;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 15:41
0101010403-C;Hunnebotn;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;8/23/2018 11:35:12 AM
0101010405-C;Østerelva;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;9/18/2019 9:54:08 AM
0101010406-C;Skjelsbusundet;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 12:42
0101010407-C;Asmalsundet;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 12:45
0101010408-C;Løperen;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 12:58
0101010500-C;Lera;CS1721112;S1;Not applicable;Skagerak;Åpen eksponert kyst;Skagerak (> 25);Liten (< 1 m);Høy;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;8/23/2018 11:40:52 AM
0101020101-1-C;Ytre Oslofjord - Vest;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 12:32:58 PM
0101020101-2-C;Ytre Oslofjord - Øst;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;3;MOSSEVASSDRAGET/KYST ONSØY-SON;10/28/2019 1:56:19 PM
0101020102-1-C;Hankøsundet;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 12:53
0101020102-2-C;Risholmsundet;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 12:56
0101020103-C;Elingårdskilen;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 12:51
0101020104-C;Krokstadfjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Morsa;3;MOSSEVASSDRAGET/KYST ONSØY-SON;8/29/2018 8:35:41 PM
0101020105-C;Kurefjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Morsa;3;MOSSEVASSDRAGET/KYST ONSØY-SON;9/13/2018 2:35:59 PM
0101020200-1-C;Midtre Oslofjord - Øst;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Morsa;3;MOSSEVASSDRAGET/KYST ONSØY-SON;09/06/2019 12:59
0101020200-2-C;Midtre Oslofjord - Vest;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;13;SANDEVASSDRAGET/KYST BERGER-TØNSBERG;8/16/2018 2:43:04 PM
0101020300-1-C;Hårfagrebåen - Hortenskrakken;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;13;SANDEVASSDRAGET/KYST BERGER-TØNSBERG;10/28/2019 1:32:05 PM
0101020300-2-C;Breiangen-øst;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Morsa;3;MOSSEVASSDRAGET/KYST ONSØY-SON;10/28/2019 2:18:24 PM
0101020400-2-C;Mossesundet- indre;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Morsa;3;MOSSEVASSDRAGET/KYST ONSØY-SON;8/29/2018 8:50:15 PM
0101020400-3-C;Mossesundet-ytre;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Morsa;3;MOSSEVASSDRAGET/KYST ONSØY-SON;8/29/2018 8:52:08 PM
0101020500-C;Hurum;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Indre Oslofjord Vest;4;HØLENELVA/DRØBAKSUNDET ØST;10/28/2019 2:08:14 PM
0101020601-C;Oslofjorden;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Indre Oslofjord Vest;5;NESODDEN OG BUNNEFJORDEN;5/31/2018 2:06:53 PM
0101020602-C;Sandvika;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Indre Oslofjord Vest;8;SANDVIKSELVA;5/31/2018 2:10:10 PM
0101020603-C;Holmenfjorden;CS3723222;S3;Not applicable;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Indre Oslofjord Vest;8;SANDVIKSELVA;5/31/2018 2:07:59 PM
0101020701-5-C;Bunnefjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Bunnefjorden med Årungen- og Gjersjøvassdraget;5;NESODDEN OG BUNNEFJORDEN;11/05/2019 13:15
0101020701-6-C;Bunnebotn;CS3723222;S3;Not applicable;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Bunnefjorden med Årungen- og Gjersjøvassdraget;5;NESODDEN OG BUNNEFJORDEN;11/13/2019 3:05:02 PM
0101020702-1-C;Oslo havn og by;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Vannområde Oslo;6;NORDMARKVASSDRAGET/KYST GJERSJØELVA-BYGDØY;11/05/2019 13:21
0101020702-2-C;Bekkelagsbassenget;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Vannområde Oslo;6;NORDMARKVASSDRAGET/KYST GJERSJØELVA-BYGDØY;6/21/2018 10:36:39 AM
0101020801-C;Drammensfjorden-indre;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Drammenselva;11;LIERELVA/DRAMMENSFJORDEN ØST;6/28/2018 11:04:21 AM
0101020802-C;Drammensfjorden-ytre;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Drammenselva;12;DRAMMENSVASSDRAGET/DRAMMENSFJORDEN VEST;10/28/2019 2:49:52 PM
0101020900-C;Sandebukta;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Breiangen Vest;13;SANDEVASSDRAGET/KYST BERGER-TØNSBERG;8/16/2018 1:58:30 PM
0101021000-1-C;Breiangen-vest;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Indre Oslofjord Vest;10;HURUMLANDET ØST OG SØR;10/10/2019 16:25
0101021000-2-C;Langøya;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Breiangen Vest;13;SANDEVASSDRAGET/KYST BERGER-TØNSBERG;09/03/2018 10:36
0101021100-C;Horten indre havn;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;13;SANDEVASSDRAGET/KYST BERGER-TØNSBERG;8/16/2018 2:40:21 PM
0101030101-1-C;Træla;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;03/11/2020 12:21
0101030101-2-C;Kanalen;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 12:18:14 PM
0101030101-3-C;Byfjorden;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;11/11/2019 15:13
0101030101-5-C;Vestfjorden-nordre;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;03/09/2018 15:58
0101030101-6-C;Vestfjorden-søndre;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;03/11/2020 12:15
0101030102-1-C;Tønsbergfjorden - Tjømekjæla;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 2:40:26 PM
0101030102-2-C;Tønsbergfjorden-ytre;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;8/28/2019 10:33:08 AM
0101030200-C;Husøyflaket;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 12:09:34 PM
0101030300-C;Huikjæla;CS2722112;S2;CW-NEA9;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 12:10:23 PM
0101030400-C;Årøysund - Hvasser;CS2722112;S2;CW-NEA9;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;8/16/2018 3:56:41 PM
0101030500-C;Sandøsund;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;8/16/2018 3:57:20 PM
0101030600-C;Tjøme - Holtekjærkilen;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;03/09/2018 15:59
0101030700-C;Vrengen;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;03/09/2018 15:48
0101030800-C;Røssesundet;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;8/28/2019 10:24:09 AM
0101040100-C;Mefjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;10/28/2019 2:59:22 PM
0101040200-1-C;Sandefjordsfjorden-indre;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;8/16/2018 4:00:58 PM
0101040200-2-C;Sandefjordsfjorden-ytre;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;8/16/2018 3:59:53 PM
0101040300-3-C;Larviksfjorden;CS2722112;S2;CW-NEA8a;Skagerak;Moderat eksponert kyst;Skagerak (> 25);Liten (< 1 m);Moderat;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;03/04/2020 13:03
0101040300-4-C;Stavern;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;11/06/2019 14:29
0101040400-1-C;Viksfjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;1/24/2013 2:34:18 PM
0101040400-2-C;Viksfjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;8/28/2019 10:52:14 AM
